CountryName,CountryCode,Year,avgvalcuractbalusd,avgvalrsvtotalpercentusd,"average_value_Total reserves (includes gold, current US$)",average_value_Total reserves in months of imports,"average_value_Use of IMF credit (DOD, current US$)"
Afghanistan,AFG,2019,-3791935256.04003,319.258392395823,8497655795.34729,13.748961538324,276923268.4
Africa Eastern and Southern,AFE,2019,,26.5631236876552,,5.5419810716047,
Africa Western and Central,AFW,2019,,,,3.89012932701321,
Albania,ALB,2019,-1218844955.87906,39.0993011784814,3763661058.67744,5.9445968324759,447707759.2
Algeria,DZA,2019,-17147722730.2744,1307.21037315591,71795950714.9485,14.4728273096777,1656880871
Andorra,AND,2019,,,,,
Angola,AGO,2019,5137394880.2235,31.4146889596402,16334853784.0603,6.42509428996664,1861295679.9
Antigua and Barbuda,ATG,2019,,,279133212.713698,,
Arab World,ARB,2019,,69.2508547512419,,19.765598040958,
Argentina,ARG,2019,-3997018054.51692,16.0686122533913,44880566052.3703,5.95437615408518,46924457621.2
Armenia,ARM,2019,-987522525.741376,23.9719799738151,2849645182.4783,4.18057242822472,374965602.2
Aruba,ABW,2019,84796821.7557428,,982300000,4.73765122446842,
Australia,AUS,2019,8033400362.83176,,58754685703.4779,1.83833706456851,
Austria,AUT,2019,12666127203.9232,,23616397437.8114,1.07191463478805,
Azerbaijan,AZE,2019,4364886019.2297,44.4623451638663,7042996709.93734,3.95619484336769,212368821.7
"Bahamas, The",BHS,2019,526320690.740738,,1757782753.50028,3.84160879491678,
Bahrain,BHR,2019,,,3902650742.43906,,
Bangladesh,BGD,2019,-2948537074.51494,57.2742916566189,32696936140.2925,5.85933450460047,1413763539.6
Barbados,BRB,2019,,,772118649.502051,,
Belarus,BLR,2019,-1245800000,23.0639047109316,9393817368.90426,2.48197967811781,509770354.2
Belgium,BEL,2019,1842643564.42101,,28969986952.2765,0.694591998874901,
Belize,BLZ,2019,-184645704.683613,20.1504827605265,277578761.136722,2.41959366396949,24744281
Benin,BEN,2019,-580555691.729075,,,,266700038.9
Bermuda,BMU,2019,828302632.092515,,,,
Bhutan,BTN,2019,-500801565.664002,45.8098507945756,1238371618.29552,9.98564557325313,8281742.4
Bolivia,BOL,2019,-1389588366.60584,45.0030196964361,6455449941.6788,5.99326403934883,226964545.7
Bosnia and Herzegovina,BIH,2019,-623861251.374911,43.430200849741,7207699940.37337,7.32401567976364,397854131.2
Botswana,BWA,2019,-1396883004.56261,394.23904447954,6170221067.31238,8.13635800922937,79418438.9
Brazil,BRA,2019,-65029905179.615,62.6778088537415,356886386911.979,12.1867384259418,3992325318
British Virgin Islands,VGB,2019,,,,,
Brunei Darussalam,BRN,2019,893760724.315115,,4272696957.80614,6.86171221841257,
Bulgaria,BGR,2019,1233620000,68.8908263295595,27901750798.6159,7.23992106609994,844734960.7
Burkina Faso,BFA,2019,-523837226.294833,,,,309646453
Burundi,BDI,2019,,19.2571126615401,111373704.053543,,149136356.3
Cabo Verde,CPV,2019,-7565567.1506369,40.5217944858158,737990665.417386,6.46233309835278,12679127.8
Cambodia,KHM,2019,-4064575202.43647,122.543369889588,18771406172.4755,8.09933804867918,116046722.9
Cameroon,CMR,2019,-1695070703.44845,,,,760370154.8
Canada,CAN,2019,-35688200343.4011,,85297110783.6887,1.45776089586656,
Caribbean small states,CSS,2019,,25.837534620146,,6.63560676203518,
Cayman Islands,CYM,2019,-581583341.801264,,183500000,0.260563141846897,
Central African Republic,CAF,2019,,39.7005852760881,350305401.8215,,296484719.1
Central Europe and the Baltics,CEB,2019,,68.8908263295595,,6.13851454969093,
Chad,TCD,2019,,8.68101871956902,310032032.850238,,469812226.1
Chile,CHL,2019,-10453536549.9369,,40655524238.3282,4.81748724441311,
China,CHN,2019,102909876008.388,152.443059425131,3222894578036.36,13.754177548943,9665491725.9
Colombia,COL,2019,-14284973777.1075,37.9629367188032,52652707434.7902,7.6134037928685,1020971932.8
Comoros,COM,2019,-37401621.4336349,67.4643211193972,202031707.232998,6.84217488546573,30741595.5
"Congo, Dem. Rep.",COD,2019,-1693232060.97432,,,,1129700742.7
"Congo, Rep.",COG,2019,,15.9901614508597,988316008.036768,,157171955.8
Costa Rica,CRI,2019,-1289119392.26517,29.9670356533933,8937069411.20634,4.54970904629397,216460602.6
Cote d'Ivoire,CIV,2019,-1348827419.86918,,,,1914817944.1
Croatia,HRV,2019,1455551838.81894,,20770636599.6909,7.17830015220289,
Cuba,CUB,2019,,,,,
Curacao,CUW,2019,-539292813.703911,,,,
Cyprus,CYP,2019,-1577489124.59504,,1033463563.89138,0.361601601059362,
Czech Republic,CZE,2019,898074466.879909,,149855634729.53,9.10826149454983,
Denmark,DNK,2019,30937220319.0477,,66835547933.6664,4.0264797106939,
Djibouti,DJI,2019,448272563.583165,19.6622973200842,501857934.384136,1.2198290811297,31639049.4
Dominica,DMA,2019,,58.9554485208678,166809123.808339,,20760360.5
